stateid,timeid,dose1,dose2
Andaman and Nicobar Islands,1,3040.0,0.0
Andaman and Nicobar Islands,2,8409.0,2768.0
Andaman and Nicobar Islands,3,38205.0,3173.0
Andaman and Nicobar Islands,4,50036.0,8867.0
Andaman and Nicobar Islands,5,16942.0,564.0
Andaman and Nicobar Islands,6,60381.0,54284.0
Andaman and Nicobar Islands,7,55696.0,27631.0
Andhra Pradesh,1,313509.0,6234.0
Andhra Pradesh,2,535907.0,231135.0
Andhra Pradesh,3,3124117.0,347854.0
Andhra Pradesh,4,1501011.0,1511119.0
Andhra Pradesh,5,4208907.0,539594.0
Andhra Pradesh,6,4507661.0,1213042.0
Andhra Pradesh,7,4325029.0,2636234.0
Arunachal Pradesh,1,1456829.0,1122.0
Arunachal Pradesh,2,32355963.0,1172285.0
Arunachal Pradesh,3,81609989.0,27837395.0
Arunachal Pradesh,4,2837065085.0,46829266.0
Arunachal Pradesh,5,2919495240.0,931374.0
Arunachal Pradesh,6,2485445088.0,65998776.0
Arunachal Pradesh,7,1144377771.0,143350924.0
Assam,1,122161.0,2016.0
Assam,2,348789.0,81914.0
Assam,3,805990.0,193006.0
Assam,4,1301599.0,450517.0
Assam,5,1358147.0,226842.0
Assam,6,3105574.0,477937.0
Assam,7,4387793.0,1010668.0
Bihar,1,452936.0,55.0
Bihar,2,623967.0,293370.0
Bihar,3,3531752.0,323566.0
Bihar,4,2429528.0,1058089.0
Bihar,5,3170701.0,247486.0
Bihar,6,6268222.0,902798.0
Bihar,7,8690272.0,2033903.0
Chandigarh,1,6712.0,117.0
Chandigarh,2,31697.0,5656.0
Chandigarh,3,70394.0,15804.0
Chandigarh,4,97769.0,50550.0
Chandigarh,5,129710.0,3766.0
Chandigarh,6,184220.0,50248.0
Chandigarh,7,213077.0,118210.0
Chhattisgarh,1,249309.0,926.0
Chhattisgarh,2,458256.0,191380.0
Chhattisgarh,3,3479005.0,255486.0
Chhattisgarh,4,858303.0,602905.0
Chhattisgarh,5,128918.0,113433.0
Chhattisgarh,6,2570315.0,722577.0
Chhattisgarh,7,1639405.0,889174.0
Dadra and Nagar Haveli and Daman and Diu,1,4060.0,71.0
Dadra and Nagar Haveli and Daman and Diu,2,10272.0,3171.0
Dadra and Nagar Haveli and Daman and Diu,3,53527.0,6759.0
Dadra and Nagar Haveli and Daman and Diu,4,20697.0,14769.0
Dadra and Nagar Haveli and Daman and Diu,5,157228.0,1645.0
Dadra and Nagar Haveli and Daman and Diu,6,247439.0,37276.0
Dadra and Nagar Haveli and Daman and Diu,7,105157.0,26730.0
Delhi,1,178176.0,1967.0
Delhi,2,320119.0,118839.0
Delhi,3,1472979.0,284907.0
Delhi,4,1410375.0,603230.0
Delhi,5,1308922.0,455142.0
Delhi,6,2311893.0,687169.0
Delhi,7,1248538.0,1113747.0
Goa,1,13277.0,309.0
Goa,2,42529.0,11400.0
Goa,3,111637.0,23973.0
Goa,4,165547.0,56849.0
Goa,5,226676.0,5992.0
Goa,6,395037.0,91750.0
Goa,7,158112.0,139636.0
Gujarat,1,11385436685.0,33.0
Gujarat,2,105980387857.0,5919711424.0
Gujarat,3,1080128278257.0,34543933265.0
Gujarat,4,3703547307805.0,344931456707.0
Gujarat,5,4402525335551.0,54419589169.0
Gujarat,6,10482958343236.0,177372482542.0
Gujarat,7,8446580490895.0,2480640834670.0
Haryana,1,177689.0,590.0
Haryana,2,194033.0,102275.0
Haryana,3,2172518.0,157879.0
Haryana,4,1387228.0,641485.0
Haryana,5,1865921.0,175245.0
Haryana,6,2526546.0,785815.0
Haryana,7,2168171.0,1328216.0
Himachal Pradesh,1,76743.0,449.0
Himachal Pradesh,2,90811.0,62871.0
Himachal Pradesh,3,872123.0,54881.0
Himachal Pradesh,4,727578.0,305945.0
Himachal Pradesh,5,411546.0,11840.0
Himachal Pradesh,6,1313152.0,519336.0
Himachal Pradesh,7,1458836.0,558373.0
Jammu and Kashmir,1,118293.0,722.0
Jammu and Kashmir,2,244936.0,55828.0
Jammu and Kashmir,3,882611.0,150249.0
Jammu and Kashmir,4,1055574.0,320831.0
Jammu and Kashmir,5,842720.0,58047.0
Jammu and Kashmir,6,1267654.0,290166.0
Jammu and Kashmir,7,1134439.0,697589.0
Jharkhand,1,203227.0,2197.0
Jharkhand,2,261702.0,143521.0
Jharkhand,3,1814914.0,170157.0
Jharkhand,4,545472.0,338864.0
Jharkhand,5,1558383.0,160409.0
Jharkhand,6,2200931.0,569294.0
Jharkhand,7,2213292.0,750489.0
Karnataka,1,435820.0,15.0
Karnataka,2,577868.0,326825.0
Karnataka,3,4921503.0,288347.0
Karnataka,4,2949929.0,1796201.0
Karnataka,5,5331743.0,631166.0
Karnataka,6,7314330.0,1910725.0
Karnataka,7,5131137.0,2884112.0
Kerala,1,340407.0,45.0
Kerala,2,705238.0,280363.0
Kerala,3,3684528.0,276905.0
Kerala,4,1560181.0,1412145.0
Kerala,5,2863599.0,298606.0
Kerala,6,2633925.0,2150319.0
Kerala,7,5493813.0,2239430.0
Ladakh,1,2831.0,71.0
Ladakh,2,28476.0,2835.0
Ladakh,3,35506.0,6186.0
Ladakh,4,18875.0,28020.0
Ladakh,5,69319.0,281.0
Ladakh,6,29343.0,24324.0
Ladakh,7,5185.0,11108.0
Lakshadweep,1,1575.0,0.0
Lakshadweep,2,1443.0,888.0
Lakshadweep,3,9452.0,1917.0
Lakshadweep,4,8970.0,3996.0
Lakshadweep,5,19143.0,293.0
Lakshadweep,6,8101.0,4790.0
Lakshadweep,7,2994.0,5991.0
Madhya Pradesh,1,548466.0,3.0
Madhya Pradesh,2,516063.0,334836.0
Madhya Pradesh,3,5137730.0,349818.0
Madhya Pradesh,4,1201423.0,948781.0
Madhya Pradesh,5,5043112.0,357524.0
Madhya Pradesh,6,8206172.0,1922389.0
Madhya Pradesh,7,11011671.0,2180277.0
Maharashtra,1,653135.0,170.0
Maharashtra,2,1360020.0,412152.0
Maharashtra,3,8025758.0,673740.0
Maharashtra,4,5533002.0,3045161.0
Maharashtra,5,5454740.0,1104249.0
Maharashtra,6,8530876.0,3131039.0
Maharashtra,7,6825817.0,4447181.0
Manipur,1,21284.0,169.0
Manipur,2,48543.0,9873.0
Manipur,3,26546.0,36457.0
Manipur,4,204036.0,23092.0
Manipur,5,171711.0,1975.0
Manipur,6,380325.0,22933.0
Manipur,7,321441.0,171851.0
Meghalaya,1,12906.0,91.0
Meghalaya,2,44754.0,10887.0
Meghalaya,3,58768.0,30087.0
Meghalaya,4,205148.0,32809.0
Meghalaya,5,120522.0,855.0
Meghalaya,6,304421.0,32211.0
Meghalaya,7,222281.0,150419.0
Mizoram,1,10365.0,75.0
Mizoram,2,35430.0,10107.0
Mizoram,3,48881.0,18203.0
Mizoram,4,143417.0,22521.0
Mizoram,5,66871.0,1444.0
Mizoram,6,295345.0,56610.0
Mizoram,7,59800.0,108731.0
Nagaland,1,9175.0,123.0
Nagaland,2,29837.0,9121.0
Nagaland,3,59945.0,19929.0
Nagaland,4,82789.0,22514.0
Nagaland,5,115251.0,737.0
Nagaland,6,231579.0,52282.0
Nagaland,7,110803.0,63234.0
Odisha,1,360676.0,3.0
Odisha,2,447210.0,270029.0
Odisha,3,3183856.0,264802.0
Odisha,4,1237281.0,861386.0
Odisha,5,2177247.0,257686.0
Odisha,6,3588275.0,1167221.0
Odisha,7,4015112.0,1653797.0
Puducherry,1,5243.0,68.0
Puducherry,2,18207.0,3550.0
Puducherry,3,-12339.0,62097.0
Puducherry,4,170556.0,-16533.0
Puducherry,5,99154.0,3995.0
Puducherry,6,226178.0,68514.0
Puducherry,7,109279.0,35545.0
Punjab,1,91988.0,62.0
Punjab,2,204795.0,64839.0
Punjab,3,1439849.0,196110.0
Punjab,4,1737539.0,441101.0
Punjab,5,949702.0,119870.0
Punjab,6,1916051.0,635360.0
Punjab,7,2066095.0,1061291.0
Rajasthan,1,586110.0,0.0
Rajasthan,2,1776458.0,444118.0
Rajasthan,3,6633670.0,783246.0
Rajasthan,4,3031261.0,1737086.0
Rajasthan,5,4519346.0,382711.0
Rajasthan,6,5791524.0,1757813.0
Rajasthan,7,6193413.0,3878585.0
Sikkim,1,8042.0,0.0
Sikkim,2,31074.0,7585.0
Sikkim,3,85416.0,9660.0
Sikkim,4,41587.0,42338.0
Sikkim,5,60281.0,253.0
Sikkim,6,224637.0,65751.0
Sikkim,7,49792.0,32455.0
Tamil Nadu,1,195796.0,671.0
Tamil Nadu,2,911263.0,120061.0
Tamil Nadu,3,2533984.0,348350.0
Tamil Nadu,4,1485027.0,1414778.0
Tamil Nadu,5,3840440.0,286716.0
Tamil Nadu,6,6356011.0,1055142.0
Tamil Nadu,7,6425588.0,1673657.0
Telangana,1,210201.0,2337.0
Telangana,2,254667.0,205766.0
Telangana,3,1664622.0,115018.0
Telangana,4,2320539.0,740403.0
Telangana,5,2367600.0,285999.0
Telangana,6,3889567.0,784202.0
Telangana,7,1366493.0,2018389.0
Tripura,1,61525.0,334.0
Tripura,2,71420.0,47242.0
Tripura,3,614049.0,50575.0
Tripura,4,233325.0,407534.0
Tripura,5,184097.0,11313.0
Tripura,6,944962.0,156028.0
Tripura,7,324319.0,153760.0
Uttar Pradesh,1,864487.0,2.0
Uttar Pradesh,2,1182124.0,621447.0
Uttar Pradesh,3,6559212.0,800355.0
Uttar Pradesh,4,2985106.0,1758456.0
Uttar Pradesh,5,8012266.0,656357.0
Uttar Pradesh,6,13062798.0,2334818.0
Uttar Pradesh,7,15582272.0,3008708.0
Uttarakhand,1,111576.0,410.0
Uttarakhand,2,146971.0,85924.0
Uttarakhand,3,970154.0,117498.0
Uttarakhand,4,708635.0,472322.0
Uttarakhand,5,733711.0,29633.0
Uttarakhand,6,1297162.0,350423.0
Uttarakhand,7,1527648.0,666244.0
West Bengal,1,484229.0,1136.0
West Bengal,2,1520187.0,358496.0
West Bengal,3,5393997.0,684847.0
West Bengal,4,1530657.0,2635698.0
West Bengal,5,4867786.0,389004.0
West Bengal,6,4339291.0,2829027.0
West Bengal,7,6679376.0,2490941.0
